0,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,5.35898e-08,
0,0.224937,0.427855,0.588892,0.692284,0.727911,0.692284,0.588892,0.427855,0.224937,0,
0,0.162875,0.309807,0.426412,0.501278,0.527075,0.501278,0.426412,0.309807,0.162875,0,
0,0.116757,0.222084,0.305673,0.35934,0.377832,0.35934,0.305673,0.222084,0.116757,0,
0,0.082067,0.156101,0.214854,0.252576,0.265574,0.252576,0.214854,0.156101,0.082067,0,
0,0.0554107,0.105397,0.145067,0.170537,0.179313,0.170537,0.145067,0.105397,0.0554107,0,
0,0.0341785,0.0650113,0.0894804,0.105191,0.110604,0.105191,0.0894804,0.0650113,0.0341785,0,
0,0.0162919,0.030989,0.0426526,0.0501412,0.0527216,0.0501412,0.0426526,0.030989,0.0162919,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,
